id,title,tags,ssc_status,drwg_status,photo_file,x_px,y_px,phase,designation
1,Oak Tree,Tree,Must Go,Remove,T1.jpg,4205,2204,phase 3,MQ
2,Pine Tree (Both),Tree,Must Go,Remove,T2.jpg,4086,2322,phase 3,MQ
3,Oak Tree,Tree,Must Go,Remove,T3.jpg,3947,2305,phase 3,MQ
4,Oak Tree,Tree,Must Go,Remove,T4.jpg,3985,2072,phase 3,MQ
5,Oak Tree,Tree,Must Go,Remove,T5.jpg,3819,2197,phase 3,MQ
6,Pine Tree,Tree,Must Go,Remove,T6.jpg,3768,2273,phase 3,MQ
7,Oak Tree,Tree,Must Go,Remove,T7.jpg,3621,2357,phase 3,MQ
8,Oak Tree,Tree,Must Go,Remove,T8.jpg,3404,2362,phase 3,MQ
9,Pine Tree,Tree,Must Go,Remove,T9.jpg,3389,2316,phase 3,MQ
10,Pine Tree,Tree,Must Go,Remove,T10.jpg,3385,2250,phase 3,MQ
11,Oak Tree,Tree,Must Go,Remove,T11.jpg,3653,2071,phase 3,MQ
12,Oak Tree,Tree,Must Go,Remove,T12.jpg,3438,2087,phase 3,MQ
13,Oak Tree,Tree,Must Go,Remove,T13.jpg,3472,2153,phase 3,MQ
14,Oak Tree,Tree,Must Go,Remove,T14.jpg,3403,2156,phase 3,MQ
15,Oak Tree,Tree,Must Go,Remove,T15.jpg,3328,2106,phase 3,MQ
16,Oak Tree,Tree,Must Go,Remove,T16.jpg,3229,2119,phase 3,MQ
17,Oak Tree,Tree,Must Go,Remove,T17.jpg,3126,2128,phase 3,MQ
18,Oak Tree,Tree,Must Go,Remove,T18.jpg,3131,2182,phase 3,MQ
19,Oak Tree,Tree,Must Go,Remove,T19.jpg,3235,2207,phase 3,MQ
20,Oak Tree,Tree,Must Go,Remove,T20.jpg,3327,2233,phase 3,MQ
21,Oak Tree,Tree,Must Go,Remove,T21.jpg,3264,2329,phase 3,MQ
22,Pine Tree,Tree,Must Go,Remove,T22.jpg,3203,2344,phase 3,MQ
23,Oak Tree (Both),Tree,Must Go,Remove,T23.jpg,2935,2146,phase 3,MQ
24,Oak Tree,Tree,Must Go,Remove,T24.jpg,2876,2176,phase 3,MQ
25,Oak Tree,Tree,Must Go,Remove,T25.jpg,2725,2134,phase 3,MQ
26,Pine Tree,Tree,Must Go,Remove,T26.jpg,2623,2345,phase 3,MQ
27,Pine Tree,Tree,Must Go,Remove,T27.jpg,2586,2373,phase 3,MQ
28,Pine Tree,Tree,Must Go,Remove,T28.jpg,2369,2450,phase 3,MQ
29,Pine Tree,Tree,Must Go,Remove,T29.jpg,2355,2388,phase 3,MQ
30,Pine Tree,Tree,Must Go,Remove,T30.jpg,2247,2417,phase 3,MQ
31,Pine Tree,Tree,Must Go,Remove,T31.jpg,2384,2084,phase 3,MQ
32,Pine Tree,Tree,Must Go,Remove,T32.jpg,2342,2075,phase 3,MQ
33,Oak Tree,Tree,Must Go,Remove,T33.jpg,4105,2098,phase 3,MQ
34,Oak Tree,Tree,Must Go,Remove,T34.jpg,3906,2074,phase 3,MQ
35,Oak Tree,Tree,Must Go,Remove,T35.jpg,3413,1767,phase 1a,MQ
36,Oak Tree,Tree,Must Go,Remove,T36.jpg,3343,1851,phase 1a,MQ
37,Oak Tree,Tree,Must Go,Remove,T37.jpg,3108,1851,phase 1a,MQ
38,Oak Tree,Tree,Must Go,Remove,T38.jpg,3046,1809,phase 1a,MQ
39,Oak Tree,Tree,Must Go,Remove,T39.jpg,2962,1825,phase 1a,MQ
40,Oak Tree,Tree,Must Go,Remove,T40.jpg,2923,1910,phase 1a,MQ
41,Oak Tree,Tree,Must Go,Remove,T41.jpg,2749,1841,phase 1a,MQ
42,Oak Tree,Tree,Must Go,Remove,T42.jpg,2676,1817,phase 1a,MQ
43,Oak Tree,Tree,Must Go,Remove,T43.jpg,2604,1818,phase 1a,MQ
44,Oak Tree,Tree,Must Go,Remove,T44.jpg,2502,1751,phase 1a,MQ
45,Pine Tree,Tree,Must Go,Remove,T45.jpg,2306,1624,phase 1a,MQ
46,Pine Tree,Tree,Must Go,Remove,T46.jpg,2206,1616,phase 1a,MQ
47,Oak Tree,Tree,Must Go,Remove,T47.jpg,2115,1620,phase 1a,MQ
48,Oak Tree,Tree,Must Go,Remove,T48.jpg,2031,1528,phase 1a,MQ
49,Pine Tree,Tree,Must Go,Remove,T49.jpg,2406,1416,phase 1a,MQ
50,Oak Tree,Tree,Must Go,Remove,T50.jpg,2486,1345,phase 1a,MQ
51,Oak Tree,Tree,Must Go,Remove,T51.jpg,2562,1354,phase 1a,MQ
52,Oak Tree,Tree,Must Go,Remove,T52.jpg,2454,1465,phase 1a,MQ
